variable,y,x,label,,,
lag_exp_T1_5_cumulative,11,-10,GF TB Community Care,,,
lag_exp_T1_1_cumulative,9,-10,GF Case Detection and Diagnosis ($),,,
lag_other_dah_T1_1_cumulative,7.5,-10,Other Case Detection and Diagnosis ($),,,
lag_exp_T1_2_cumulative,5.75,-10,GF TB Treatment ($),,,
lag_other_dah_T1_2_cumulative,4.75,-10,Other TB Treatment ($),,,
lag_exp_T3_cumulative,3.25,-10,GF MDR-TB Exp.,,,
lag_other_dah_T3_cumulative,2.25,-10,Other MDR-TB Exp.,,,
lag_exp_T2_cumulative,1,-10,GF TB-HIV Exp.,,,
com_radio_cumulative,12,-3,Radio broadcasts (#),,,
com_cause_cumulative,10.75,-3,Community chats (#),,,
com_mobsoc_cumulative,9.5,-3,Social mobilizations (#),,,
tot_genexpert_cumulative,4,-3,Genexpert Tests (#),,,
com_nom_touss_cumulative,11.25,3,Those with cough screened (#),,,
com_enf_ref_cumulative,9.75,3,Child Contacts Ref. (#),,,
tb_tfc_cumulative,8,3,TB Cases identified (#),,,
ntr_all_cumulative,5,3,Treated First-line (#),,,
dx_count_cumulative,3,3,MDR-TB Cases Diagnosed (#),,,
tb_vih_arv_cumulative,1,3,TB-HIV Rec. ARV (#),,,
tpm_chimio_enf_cumulative,10,10,IPT Medicine for children,,,         
gueris_taux,6.75,10,Treatment Success Rate: TB,,,
perf_lab,5,10,Lab Performance Rate,,,
mdr_tx_rate,3,10,MDR-TB Started on Treatment (Rate),,,
tbvih_arvtx_rate,1,10,Proportion of TB/HIV patients starting ARV tx.,,,
