filename,extension,sheet,format,start_date,disease,loc_id,source,period,qtr_number,lang,grant_number,recipient
FR100-GTM-H_DB_INCAP_06ene2018,.xlsx,Detailed Budget,detailed,"""2018-10-01""",hiv,gtm,gf,90,9,esp,FR100-GTM-H,MoH
1d_GTM-T-MSPAS Detailed budget_FINAL_01062016,.xlsx,Detailed Budget,detailed,"""2016-07-01"" ",tb,gtm,gf,90,12,esp,GTM-T-MSPAS,MoH
05-FR100-GTM-H_DB_11.09.17 FINAL,.xlsx,Detailed Budget,detailed,"""2018-01-01""",hiv,gtm,gf,90,12,esp,FR100-GTM-H,MoH
GUA-311-G06-H_SCN_Extension_Budget_IL8,.xls,Detailed Budget,detailed,"""2016-10-01""",hiv,gtm,gf,90,5,esp,GUA-311-G06-H,MoH
GUA-610-G04-T_SB_Year_6_7_ENG,.xls,Detailed budget,other,"""2010-02-01""",tb,gtm,gf,90,8,esp,GUA-610-G04-T,MoH
GUA-311-G05-H_IL2_Addendum SB_edit,.xls,Budget summary GF,summary,"""2013-10-01""",hiv,gtm,gf,90,3,esp,GUA-311-G05-H,UNIDADES EJECUTORAS
GUA-610-G04-T_IL4_SB_Year_3_5b_ENG,.xls,Budget summary GF,summary,"""2011-04-01""",malaria,gtm,gf,90,10,esp,GUA-M-MSPAS,MoH
IL1_SB1-3a_GUA-311-G05-H,.xls,Budget summary GF,summary,"""2010-10-01""",hiv,gtm,gf,90,12,esp,GUA-311-G05-H,MoH
GUA-311-G05-H IL6_Cumulative_RCC2_SBb,.xlsx,Summary Budget,summary,"""2014-04-01"" ",hiv,gtm,gf,90,10,esp,GUA-311-G05-H,MoH
GUA-M-MSPAS_SB_Y4-6a_IL8,.xlsx,Summary Budget revised,summary,"""2014-07-01""",malaria,gtm,gf,90,10,esp,GUA-M-MSPAS,MoH
GUA-311-G06-H_SB_Y4-6a_IL7,.xlsx,Budget summary GF,other,"""2013-10-01""",hiv,gtm,gf,90,12,esp,GUA-311-G06-H,MoH
